id,name,price,volume_24h,volume_change_24h,percent_change_1h,percent_change_24h,percent_change_7d,percent_change_30d,percent_change_60d,percent_change_90d,market_cap,market_cap_dominance,fully_diluted_market_cap,last_updated
565,Qcash,0.14924063433312007,177541370.16316262,2.58,0.00678169,0.42348153,0.22046018,-2.93356066,-2.10297259,-2.80679913,68650721.6413621,0.0027,1492406343.33,2021-11-24T05:04:04.000Z
566,Velo,0.20519451106025288,3970725.94669083,-25.8886,5.19903796,2.64520813,-4.04510621,-27.02490781,-27.14025368,-58.33140851,69462762.70444189,0.0027,6155835329.96,2021-11-24T05:03:36.000Z
567,Saito,0.0638822810316159,3510048.04806371,-8.0641,0.60034368,8.43770491,-11.2895733,337.23019573,494.1604229,299.46457443,68060728.21888062,0.0027,638822810.32,2021-11-24T05:02:10.000Z
568,Burger Swap,3.9652814314068188,38380718.58602101,-61.3788,-1.32324774,1.80622282,9.85961601,-3.89567325,15.29911541,-28.05436602,67745188.53624101,0.0026,83270910.06,2021-11-24T05:03:37.000Z
569,ADAPad,0.576443792684105,2399682.00089851,-11.734,-3.39009864,-18.12762653,-16.4522306,-29.53083732,-5.16563157,0.2340978,67814215.73012252,0.0026,576443792.68,2021-11-24T05:02:03.000Z
570,Metronome,5.442852991414654,414041.56236259,216.6585,0.58187502,1.02316614,-0.43182205,2.91291823,33.58973051,25.77517275,67598163.91722305,0.0026,73978243.54,2021-11-24T05:03:34.000Z
571,FirmaChain,0.19946228497029475,20570262.55025061,89.3804,-0.72316884,4.51301887,-1.30410552,11.04521898,36.86438861,48.75933767,67062583.54006226,0.0026,119677370.98,2021-11-24T05:03:35.000Z
572,Bytecoin,0.0003638981936932044,51930.32943043,-18.3134,-0.2905305,1.88122338,-7.97650891,5.73533499,33.3353813,-75.17436162,66981586.52427198,0.0026,67128299.79,2021-11-24T05:04:05.000Z
573,Beam,0.6565032351701368,6389664.69235545,-27.189,0.58083595,-3.54723917,7.54633026,-14.2873688,20.13019227,-9.99944183,66805742.95078371,0.0026,172529050.2,2021-11-24T05:03:30.000Z
574,Valobit,0.05552512275989074,272740.50317479,41.1923,-20.84074352,43.33849479,24.20750214,12.09851015,30.02832057,26.20260999,66674954.08094832,0.0026,88840196.42,2021-11-24T05:03:34.000Z
575,DigixDAO,818.2885709701013,148322.85414097,21.4273,0.55726095,2.18847989,4.57687318,3.67764397,45.12631958,34.64251941,66538554.23975561,0.0026,66538554.24,2021-11-24T05:04:07.000Z
576,AMO Coin,0.003462399647596523,4923195.32654108,11.2266,1.85807294,8.46389544,31.16884957,41.9828143,62.29276442,26.62890467,66227657.119510286,0.0026,68136606.85,2021-11-24T05:04:04.000Z
577,FIO Protocol,0.1798770074949385,5605726.87231804,-42.8454,0.5017736,-2.41694758,6.54384159,-5.93860346,2.6393233,-23.78428762,66075591.909677476,0.0026,179877007.49,2021-11-24T05:03:34.000Z
578,Bounce Token,31.206386659482728,5780634.0293059,-38.7804,-0.25427417,-0.31270372,-5.45027062,-17.38517809,14.32842533,-4.85809168,65032724.15996141,0.0025,312063866.59,2021-11-24T05:03:07.000Z
579,Rainicorn,0.1367130227328561,368776.79064682,-71.2341,0.75877528,2.73241954,15.44015419,96.61689674,17.36494034,182.88206946,64627630.313411854,0.0025,68356511.37,2021-11-24T05:03:35.000Z
580,VerusCoin,0.9870312996859238,75049.01895484,74.0635,0.43463644,4.81557825,6.18890473,-11.44969365,0.61738352,-1.54869313,64598005.32622409,0.0025,82456776.39,2021-11-24T05:03:35.000Z
581,Dock,0.08850413830279495,16897056.58058312,37.3677,-0.95261934,0.69230778,9.50435513,6.60109723,11.28095676,-10.22821972,64803378.94627883,0.0025,88504138.3,2021-11-24T05:04:07.000Z
582,Dora Factory,20.49582493991487,69150725.83543108,-36.6743,0.80611145,-11.11347598,34.70481775,152.87035411,188.57142608,92.88276214,63790765.571245655,0.0025,204958249.4,2021-11-24T05:03:29.000Z
583,Kleros,0.10312885837885402,3181523.97591939,-10.0699,-0.07381544,3.88669071,-9.21260061,-25.32097926,-26.25068605,-32.12896672,63752642.68586453,0.0025,78855079.07,2021-11-24T05:04:06.000Z
584,CoinEx Token,0.08984199313211896,1758874.06088322,60.7611,0.80840599,-0.44901886,6.1722809,38.16596848,69.84437478,13.3234487,63665053.426273525,0.0025,136387996.68,2021-11-24T05:03:35.000Z
585,Paris Saint-Germain Fan Token,20.43659211121965,20733849.39901226,-32.9541,3.57483713,-0.0051591,1.70061176,-9.18005014,-23.30085649,-41.7269015,63575601.737621985,0.0025,408731842.22,2021-11-24T05:04:03.000Z
586,Crust Network,21.037956042376535,4107486.40078718,11.0887,0.77598021,-3.25571213,-16.84015101,-18.35238473,-34.07315329,-53.11759701,62991650.71865645,0.0025,420759120.85,2021-11-24T05:04:07.000Z
587,Cellframe,2.1673053513576175,3011634.7171217,-3.8115,-0.67727223,6.08377063,-13.89905751,129.38945095,62.97879819,73.4294491,62078211.59149189,0.0024,65669352.15,2021-11-24T05:02:09.000Z
588,VideoCoin,0.39532956179652806,144630.31926281,-11.1011,-1.36107475,0.62550676,18.94059968,-17.37101456,-7.25555711,-29.55241886,61821496.978165574,0.0024,104762333.88,2021-11-24T05:04:04.000Z
589,Grid+,1.5693944107784852,339660.38842449,157.0979,0.78840022,8.06246001,10.94131753,264.08498684,507.90680743,414.22988456,61577529.673960336,0.0024,470818323.23,2021-11-24T05:04:03.000Z
590,BASIC,0.009906678118146297,3138007.43315032,-17.7256,0.83303988,0.09689221,-4.28271968,-35.31717266,-26.04544984,47.61386708,61457984.96780898,0.0024,99066781.18,2021-11-24T05:04:05.000Z
591,ZEON,0.002005411789866904,33764.80987366,14.0143,0.57858775,12.12648781,76.55078249,-20.31826104,-1.17280658,-24.41173323,61223423.96524703,0.0024,100270589.49,2021-11-24T05:03:31.000Z
592,STARSHIP,3.228619460475719,849575.02299899,-49.3169,5.53085891,-7.82757433,-2.35950841,362.53962063,1554.78047982,3608.74861636,61047569.81426597,0.0024,64572389.21,2021-11-24T05:03:32.000Z
593,ParaSwap,0.8363307950320203,8873046.16600316,65.5559,-1.00835022,8.80226674,-32.73035389,-55.18804457,-55.18804457,-55.18804457,60960987.980679,0.0024,1672661590.06,2021-11-24T05:04:05.000Z
594,SifChain,0.1860447455958515,327965.92977466,-46.5579,-0.62673619,2.61362451,9.92346983,-24.57679131,-35.53573636,-51.82476325,60610236.13975689,0.0024,226955711.03,2021-11-24T05:04:06.000Z
595,AhaToken,0.02027548814334205,21576534.39402346,-0.344,0.47919733,7.15355288,19.30917664,19.0574396,88.43272733,71.99847047,60758094.956844114,0.0024,212892625.51,2021-11-24T05:04:06.000Z
596,Neutrino Token,27.778329300491546,107009.43422562,10.0465,0.2402019,-4.25329102,5.93314053,-4.47843769,1.28626347,5.29621483,60031796.88510709,0.0023,78770702.84,2021-11-24T05:04:03.000Z
597,Covalent,1.2060982496865011,18572616.47828053,184.5899,-3.40018559,24.10190912,26.65266341,-0.02295254,18.38420061,-13.50979054,59900961.23414706,0.0023,1206098249.69,2021-11-24T05:03:05.000Z
598,Apollo Currency,0.002829057331051423,5987605.71427231,-13.5818,1.6033262,-0.6871361,-8.12603275,-36.19074071,-0.04720906,8.80880719,59877271.503436595,0.0023,59877271.5,2021-11-24T05:03:35.000Z
599,Xeno Token,0.15933813935624608,44293937.10090878,-69.4411,1.94004459,-1.25416,69.61544408,122.31935174,108.49135042,59.47099252,59307391.776099354,0.0023,334610092.65,2021-11-24T05:02:04.000Z
600,FaraLand,3.3465202540934427,3352303.01285521,21.698,-0.73029807,4.79757629,-5.103036,-6.71659415,30.88510037,-24.99944416,58800114.93197306,0.0023,334652025.41,2021-11-24T05:04:06.000Z
601,GMT Token,0.39974344775565623,2532118.30231941,6.7912,-0.45252133,4.20766106,1.03558166,-13.19652624,16.00803954,12.65795855,58720408.78348395,0.0023,3997434477.56,2021-11-24T05:03:37.000Z
602,GameZone,0.912776591119721,1998055.11381052,42.4581,0.01074157,2.0123469,-14.50886536,5.92268278,67.39114907,67.39114907,58317571.66354779,0.0023,912776591.12,2021-11-24T05:03:29.000Z
603,BTU Protocol,0.641058519469227,12534.27287353,-15.3909,0.01356247,0.19219567,-11.8369341,-14.05947363,13.12340186,13.89802533,58024909.08560346,0.0023,64105851.95,2021-11-24T05:04:08.000Z
604,BLOCKv,0.016876000393105745,64219.16439649,43.4422,1.167452,4.59821169,12.34957961,103.44315143,85.17958298,113.95658498,57560373.395916015,0.0022,61534474.9,2021-11-24T05:04:04.000Z
605,Venus BUSD,0.021178890232419464,0.0,0.0,0.03828449,0.00633585,0.10156669,0.69565724,1.1512594,1.53949738,57072247.98569541,0.0022,57072247.99,2021-11-24T05:03:35.000Z
606,Tornado Cash,51.7113490624629,11700829.00362795,34.8351,0.9311147,5.63441979,4.52130665,-26.45869229,-10.62198225,-16.64723075,56871868.07951553,0.0022,517113490.62,2021-11-24T05:02:10.000Z
607,v.systems,0.02343627497175674,4287773.58938181,-17.1228,-0.54972872,4.08006663,15.47841912,5.318025,44.40685541,14.05344545,56799023.93228713,0.0022,101881240.83,2021-11-24T05:04:07.000Z
608,Electric Vehicle Zone,0.12713086206488,56980546.35412456,-54.8817,2.51488257,-7.77419898,164.62769074,196.44448483,211.3018076,150.05557921,56285035.07389879,0.0022,1070474636.99,2021-11-24T05:04:07.000Z
